origin,valuation,reported,open,closed_no_pay,closed_with_pay,gross_paid,gross_incurred,net_paid,net_incurred
1995,1995,26764,7698,3540,15526,34794816,39558116,24829858,27216008
1995,1996,27532,1352,4703,21477,43442565,42774541,29773852,29085840
1996,1996,26839,7425,3449,15965,37327905,41595054,25989301,27930517
1995,1997,27533,264,4845,22424,43440438,43385178,29559915,29368449
1996,1997,27478,1405,4484,21589,45469885,44849569,30201463,29601201
1997,1997,28426,7708,3460,17258,40606066,45618020,28182710,30609628
1995,1998,27533,112,4856,22565,43444095,43448060,29512835,29438610
1996,1998,27480,254,4638,22588,45466163,45419905,30038055,29836815
1997,1998,29067,1397,4468,23202,48948706,48230443,32573011,31900763
1998,1998,30511,8054,3766,18691,44620342,49458537,30867146,33005013
1995,1999,27533,69,4859,22605,43443550,43445213,29467194,29440666
1996,1999,27482,124,4657,22701,45485466,45475238,30024233,29926738
1997,1999,29069,439,4573,24057,48967773,48873884,32376985,32168433
1998,1999,31076,1470,4705,24901,53840539,53180537,35767346,35138604
1999,1999,34108,9858,4341,19909,47979581,54854117,33362460,36488682
1995,2000,27533,49,4858,22626,43444959,43449115,29460446,29443302
1996,2000,27482,70,4662,22750,45485802,45476687,29985914,29924551
1997,2000,29070,122,4608,24340,48968386,48950173,32246991,32131296
1998,2000,31080,305,4820,25955,53869173,53806257,35532973,35373031
1999,2000,35131,1814,5851,27466,59698274,58964047,39528244,38807868
2000,2000,36172,10173,4946,21053,51853862,57878560,35978073,38937205
1995,2001,27533,25,4859,22649,43444959,43445227,29405621,29390887
1996,2001,27482,43,4665,22774,45485802,45476446,29969663,29928777
1997,2001,29070,72,4613,24385,48965674,48960711,32192147,32134502
1998,2001,31080,146,4835,26099,53865746,53871650,35466616,35406695
1999,2001,35140,381,6001,28758,59749783,59717426,39187110,38988682
2000,2001,36977,2015,6230,28732,63363849,62451305,41980683,41143746
2001,2001,36316,10381,5156,20779,54103042,60015821,37931381,40589130
1995,2002,27533,19,4858,22656,43444959,43445174,29402093,29391424
1996,2002,27483,32,4665,22786,45502671,45504689,29976268,29963347
1997,2002,29070,39,4615,24416,48965674,48966241,32176757,32159426
1998,2002,31080,90,4838,26152,53870557,53873432,35464084,35421408
1999,2002,35141,151,6026,28964,59763693,59774051,39082150,38991451
2000,2002,36982,346,6391,30245,63443325,63331790,41699987,41467219
2001,2002,37221,2039,6223,28959,67105179,66077794,45112974,44271499
2002,2002,35971,9226,4951,21794,54360197,60066125,38116350,40773244
1995,2003,27533,16,4860,22657,43444959,43445162,29401160,29391411
1996,2003,27483,30,4664,22789,45503496,45508606,29970661,29963005
1997,2003,29070,26,4618,24426,48965674,48966307,32160431,32153024
1998,2003,31080,61,4841,26178,53870851,53878136,35460073,35431311
1999,2003,35141,95,6032,29014,59765582,59779364,39069595,39012770
2000,2003,36982,132,6417,30433,63470343,63439593,41661101,41513459
2001,2003,37229,428,6359,30442,67175557,67078219,44833003,44539532
2002,2003,36571,1898,5852,28821,64588799,63720064,43472416,42663488
2003,2003,34480,8757,4825,20898,50997750,55770750,36417564,38650799
1995,2004,27533,13,4860,22660,43444959,43445162,29400906,29391411
1996,2004,27483,20,4664,22799,45503496,45503497,29965128,29962558
1997,2004,29070,19,4619,24432,48965674,48966304,32160179,32153330
1998,2004,31080,38,4841,26201,53886514,53892817,35450195,35430519
1999,2004,35141,50,6038,29053,59766394,59779486,39058894,39018022
2000,2004,36982,79,6422,30481,63478319,63454106,41610378,41525930
2001,2004,37229,188,6380,30661,67191399,67137140,44759394,44565476
2002,2004,36577,364,5992,30221,64673483,64381683,43210799,42919943
2003,2004,35099,1661,5818,27620,60553121,59480576,41496245,40577934
2004,2004,34712,8398,5022,21292,52357351,57200510,37251246,39640441
1995,2005,27533,11,4860,22662,43439148,43439351,29394805,29394220
1996,2005,27483,14,4665,22804,45503496,45503497,29964897,29964755
1997,2005,29070,15,4618,24437,48965674,48966231,32158639,32155397
1998,2005,31080,23,4843,26214,53886611,53892541,35441722,35430217
1999,2005,35141,36,6039,29066,59758539,59768879,39036737,39020698
2000,2005,36982,42,6424,30516,63478440,63469446,41581116,41555350
2001,2005,37229,107,6388,30734,67181620,67163056,44696962,44585934
2002,2005,36578,178,6014,30386,64676270,64567113,43141286,42966131
2003,2005,35108,316,5961,28831,60638876,60289235,41154716,40824453
2004,2005,35319,1573,6086,27660,61336063,60518348,41859367,41120419
