origin,exposure_units,gross_written_premium,source_claim_count
1995,148600,25700000,26775
1996,157500,26500000,26852
1997,166500,28000000,28432
1998,175500,29800000,30517
1999,184500,32300000,34123
2000,193400,34000000,36186
2001,202400,34800000,36322
2002,211400,35500000,35984
2003,220300,39200000,34491
2004,226800,37900000,34728
2005,239100,41100000,37539
2006,250800,42400000,38603
2007,256200,41200000,38048
2008,263800,41900000,38941
2009,274300,39800000,42779
2010,282900,40700000,45276
2011,292000,41200000,43351
2012,295600,44000000,42815
2013,296500,45700000,41639
2014,303900,45900000,41678
