origin,age,value
1995,12,39558116
1995,24,42774541
1996,12,41595054
1995,36,43385178
1996,24,44849569
1997,12,45618020
1995,48,43448060
1996,36,45419905
1997,24,48230443
1998,12,49458537
1995,60,43445213
1996,48,45475238
1997,36,48873884
1998,24,53180537
1999,12,54854117
1995,72,43449115
1996,60,45476687
1997,48,48950173
1998,36,53806257
1999,24,58964047
2000,12,57878560
1995,84,43445227
1996,72,45476446
1997,60,48960711
1998,48,53871650
1999,36,59717426
2000,24,62451305
2001,12,60015821
1995,96,43445174
1996,84,45504689
1997,72,48966241
1998,60,53873432
1999,48,59774051
2000,36,63331790
2001,24,66077794
2002,12,60066125
1995,108,43445162
1996,96,45508606
1997,84,48966307
1998,72,53878136
1999,60,59779364
2000,48,63439593
2001,36,67078219
2002,24,63720064
2003,12,55770750
1995,120,43445162
1996,108,45503497
1997,96,48966304
1998,84,53892817
1999,72,59779486
2000,60,63454106
2001,48,67137140
2002,36,64381683
2003,24,59480576
2004,12,57200510
1995,132,43439351
1996,120,45503497
1997,108,48966231
1998,96,53892541
1999,84,59768879
2000,72,63469446
2001,60,67163056
2002,48,64567113
2003,36,60289235
2004,24,60518348
2005,12,59357757
1995,144,43439351
1996,132,45503496
1997,120,48966230
1998,108,53890796
1999,96,59763994
2000,84,63455609
2001,72,67177179
2002,60,64601916
2003,48,60576414
2004,36,61073582
2005,24,63404161
2006,12,59522621
1995,156,43439351
1996,144,45503496
1997,132,48965674
1998,120,53890796
1999,108,59765495
2000,96,63455281
2001,84,67181135
2002,72,64681277
2003,60,60651337
2004,48,61401707
2005,36,64349673
2006,24,63619879
2007,12,59636037
1995,168,43439351
1996,156,45503496
1997,144,48965674
1998,132,53890793
1999,120,59765431
2000,108,63467921
2001,96,67185265
2002,84,64680749
2003,72,60664482
2004,60,61409050
2005,48,64466190
2006,36,64454308
2007,24,64920852
2008,12,62171577
1995,180,43439351
1996,168,45503496
1997,156,48965674
1998,144,53890793
1999,132,59765430
2000,120,63467921
2001,108,67185262
2002,96,64680745
2003,84,60664481
2004,72,61420925
2005,60,64467441
2006,48,64565292
2007,36,65432609
2008,24,66470353
2009,12,67255729
1995,192,43439351
1996,180,45503496
1997,168,48965674
1998,156,53890744
1999,144,59765430
2000,132,63467921
2001,120,67185225
2002,108,64680745
2003,96,60664590
2004,84,61421124
2005,72,64482580
2006,60,64591780
2007,48,65511292
2008,36,67179900
2009,24,72575510
2010,12,74084451
1995,204,43439351
1996,192,45503496
1997,180,48965674
1998,168,53890745
1999,156,59765430
2000,144,63468341
2001,132,67185225
2002,120,64680743
2003,108,60664590
2004,96,61421071
2005,84,64474746
2006,72,64604529
2007,60,65519280
2008,48,67257170
2009,36,73404094
2010,24,78994966
2011,12,69019106
1995,216,43439351
1996,204,45503496
1997,192,48965674
1998,180,53890745
1999,168,59765430
2000,156,63468341
2001,144,67185225
2002,132,64680743
2003,120,60664590
2004,108,61421432
2005,96,64473076
2006,84,64581860
2007,72,65519730
2008,60,67282050
2009,48,73432800
2010,36,79923594
2011,24,73328664
2012,12,69525116
1995,228,43439351
1996,216,45503496
1997,204,48965674
1998,192,53890745
1999,180,59765430
2000,168,63468236
2001,156,67185225
2002,144,64680743
2003,132,60664590
2004,120,61421432
2005,108,64474081
2006,96,64581899
2007,84,65518160
2008,72,67285133
2009,60,73444426
2010,48,80988557
2011,36,74067419
2012,24,72672935
2013,12,69558732
1995,240,43439351
1996,228,45503496
1997,216,48965674
1998,204,53890744
1999,192,59765430
2000,180,63468236
2001,168,67185225
2002,156,64680743
2003,144,60664590
2004,132,61421432
2005,120,64474081
2006,108,64580842
2007,96,65517540
2008,84,67285317
2009,72,73452042
2010,60,80983488
2011,48,74113581
2012,36,73507329
2013,24,73079596
2014,12,69725498
