origin,age,value
1995,12,34794816
1995,24,43442565
1996,12,37327905
1995,36,43440438
1996,24,45469885
1997,12,40606066
1995,48,43444095
1996,36,45466163
1997,24,48948706
1998,12,44620342
1995,60,43443550
1996,48,45485466
1997,36,48967773
1998,24,53840539
1999,12,47979581
1995,72,43444959
1996,60,45485802
1997,48,48968386
1998,36,53869173
1999,24,59698274
2000,12,51853862
1995,84,43444959
1996,72,45485802
1997,60,48965674
1998,48,53865746
1999,36,59749783
2000,24,63363849
2001,12,54103042
1995,96,43444959
1996,84,45502671
1997,72,48965674
1998,60,53870557
1999,48,59763693
2000,36,63443325
2001,24,67105179
2002,12,54360197
1995,108,43444959
1996,96,45503496
1997,84,48965674
1998,72,53870851
1999,60,59765582
2000,48,63470343
2001,36,67175557
2002,24,64588799
2003,12,50997750
1995,120,43444959
1996,108,45503496
1997,96,48965674
1998,84,53886514
1999,72,59766394
2000,60,63478319
2001,48,67191399
2002,36,64673483
2003,24,60553121
2004,12,52357351
1995,132,43439148
1996,120,45503496
1997,108,48965674
1998,96,53886611
1999,84,59758539
2000,72,63478440
2001,60,67181620
2002,48,64676270
2003,36,60638876
2004,24,61336063
2005,12,53775609
1995,144,43439148
1996,132,45503496
1997,120,48965674
1998,108,53886611
1999,96,59758855
2000,84,63468250
2001,72,67182982
2002,60,64676899
2003,48,60644276
2004,36,61372050
2005,24,64349015
2006,12,54481134
1995,156,43439148
1996,144,45503496
1997,132,48965674
1998,120,53886611
1999,108,59760469
2000,96,63468250
2001,84,67182982
2002,72,64680699
2003,60,60645250
2004,48,61388086
2005,36,64458825
2006,24,64536433
2007,12,54636254
1995,168,43439148
1996,156,45503496
1997,144,48965674
1998,132,53886611
1999,120,59760469
2000,108,63468250
2001,96,67182982
2002,84,64680743
2003,72,60662750
2004,60,61393843
2005,48,64460877
2006,36,64574350
2007,24,65422156
2008,12,56922407
1995,180,43439148
1996,168,45503496
1997,156,48965674
1998,144,53886611
1999,132,59760469
2000,120,63468250
2001,108,67183420
2002,96,64680743
2003,84,60662750
2004,72,61411837
2005,60,64462206
2006,48,64573513
2007,36,65462026
2008,24,67158476
2009,12,60196037
1995,192,43439148
1996,180,45503496
1997,168,48965674
1998,156,53886611
1999,144,59760469
2000,132,63468250
2001,120,67183420
2002,108,64680743
2003,96,60662882
2004,84,61413385
2005,72,64469685
2006,60,64577707
2007,48,65521565
2008,36,67267193
2009,24,73248885
2010,12,65816487
1995,204,43439148
1996,192,45503496
1997,180,48965674
1998,168,53886611
1999,156,59760469
2000,144,63468670
2001,132,67183420
2002,120,64680743
2003,108,60662882
2004,96,61413385
2005,84,64469685
2006,72,64578021
2007,60,65522328
2008,48,67281025
2009,36,73416898
2010,24,79770213
2011,12,63050190
1995,216,43439148
1996,204,45503496
1997,192,48965674
1998,180,53886611
1999,168,59760469
2000,156,63468670
2001,144,67183420
2002,132,64680743
2003,120,60662882
2004,108,61413867
2005,96,64469685
2006,84,64579131
2007,72,65523070
2008,60,67283584
2009,48,73440196
2010,36,79898936
2011,24,73913433
2012,12,62871410
1995,228,43439148
1996,216,45503496
1997,204,48965674
1998,192,53886611
1999,180,59760469
2000,168,63468566
2001,156,67183420
2002,144,64680743
2003,132,60662882
2004,120,61413867
2005,108,64470690
2006,96,64579172
2007,84,65523320
2008,72,67284793
2009,60,73437906
2010,48,80939176
2011,36,74090242
2012,24,73407909
2013,12,62697918
1995,240,43439148
1996,228,45503496
1997,216,48965674
1998,204,53886611
1999,192,59760469
2000,180,63468566
2001,168,67183420
2002,156,64680743
2003,144,60662882
2004,132,61413867
2005,120,64470690
2006,108,64579172
2007,96,65523320
2008,84,67284979
2009,72,73449079
2010,60,80940431
2011,48,74121372
2012,36,73495145
2013,24,73699296
2014,12,63697925
