origin,age,value
1995,12,27216008
1995,24,29085840
1996,12,27930517
1995,36,29368449
1996,24,29601201
1997,12,30609628
1995,48,29438610
1996,36,29836815
1997,24,31900763
1998,12,33005013
1995,60,29440666
1996,48,29926738
1997,36,32168433
1998,24,35138604
1999,12,36488682
1995,72,29443302
1996,60,29924551
1997,48,32131296
1998,36,35373031
1999,24,38807868
2000,12,38937205
1995,84,29390887
1996,72,29928777
1997,60,32134502
1998,48,35406695
1999,36,38988682
2000,24,41143746
2001,12,40589130
1995,96,29391424
1996,84,29963347
1997,72,32159426
1998,60,35421408
1999,48,38991451
2000,36,41467219
2001,24,44271499
2002,12,40773244
1995,108,29391411
1996,96,29963005
1997,84,32153024
1998,72,35431311
1999,60,39012770
2000,48,41513459
2001,36,44539532
2002,24,42663488
2003,12,38650799
1995,120,29391411
1996,108,29962558
1997,96,32153330
1998,84,35430519
1999,72,39018022
2000,60,41525930
2001,48,44565476
2002,36,42919943
2003,24,40577934
2004,12,39640441
1995,132,29394220
1996,120,29964755
1997,108,32155397
1998,96,35430217
1999,84,39020698
2000,72,41555350
2001,60,44585934
2002,48,42966131
2003,36,40824453
2004,24,41120419
2005,12,40897791
1995,144,29394220
1996,132,29963376
1997,120,32156476
1998,108,35429125
1999,96,39022906
2000,84,41542193
2001,72,44604026
2002,60,43007921
2003,48,40950536
2004,36,41371226
2005,24,43220204
2006,12,41391301
1995,156,29394220
1996,144,29963376
1997,132,32158471
1998,120,35429125
1999,108,39024936
2000,96,41543214
2001,84,44625917
2002,72,43072572
2003,60,40976450
2004,48,41546926
2005,36,43511026
2006,24,42963619
2007,12,40318673
1995,168,29394220
1996,156,29953494
1997,144,32158471
1998,132,35431931
1999,120,39034816
2000,108,41555130
2001,96,44632918
2002,84,43073819
2003,72,40997135
2004,60,41574241
2005,48,43590935
2006,36,43294588
2007,24,43046217
2008,12,43061013
1995,180,29394220
1996,168,29953494
1997,156,32158471
1998,144,35431931
1999,132,39037419
2000,120,41555130
2001,108,44652884
2002,96,43078898
2003,84,40996990
2004,72,41597565
2005,60,43602995
2006,48,43358957
2007,36,43068810
2008,24,45514637
2009,12,46949414
1995,192,29394220
1996,180,29953494
1997,168,32158471
1998,156,35435329
1999,144,39037419
2000,132,41555130
2001,120,44652847
2002,108,43078898
2003,96,41010914
2004,84,41590586
2005,72,43618452
2006,60,43362121
2007,48,43166185
2008,36,45832731
2009,24,50181288
2010,12,52173432
1995,204,29394220
1996,192,29953494
1997,180,32158471
1998,168,35431883
1999,156,39037419
2000,144,41555550
2001,132,44652847
2002,120,43078899
2003,108,41010914
2004,96,41592370
2005,84,43613963
2006,72,43389742
2007,60,43207461
2008,48,45904708
2009,36,50427716
2010,24,54786576
2011,12,47994257
1995,216,29394220
1996,204,29953494
1997,192,32158471
1998,180,35434641
1999,168,39037419
2000,156,41555550
2001,144,44652847
2002,132,43078899
2003,120,41010914
2004,108,41594063
2005,96,43613278
2006,84,43401835
2007,72,43208235
2008,60,45954680
2009,48,50471600
2010,36,55033626
2011,24,49785292
2012,12,48790334
1995,228,29394220
1996,216,29953494
1997,204,32158471
1998,192,35431530
1999,180,39037419
2000,168,41556297
2001,156,44652847
2002,144,43084896
2003,132,41010914
2004,120,41593511
2005,108,43614589
2006,96,43401591
2007,84,43219323
2008,72,45953071
2009,60,50492857
2010,48,56075575
2011,36,49981769
2012,24,50221713
2013,12,49305102
1995,240,29394220
1996,228,29953494
1997,216,32158471
1998,204,35434332
1999,192,39037419
2000,180,41556297
2001,168,44652847
2002,156,43084896
2003,144,41010914
2004,132,41592864
2005,120,43625224
2006,108,43400534
2007,96,43227418
2008,84,45952356
2009,72,50523665
2010,60,56114156
2011,48,49973905
2012,36,50496651
2013,24,50950814
2014,12,48810248
