origin,age,value
1995,12,24829858
1995,24,29773852
1996,12,25989301
1995,36,29559915
1996,24,30201463
1997,12,28182710
1995,48,29512835
1996,36,30038055
1997,24,32573011
1998,12,30867146
1995,60,29467194
1996,48,30024233
1997,36,32376985
1998,24,35767346
1999,12,33362460
1995,72,29460446
1996,60,29985914
1997,48,32246991
1998,36,35532973
1999,24,39528244
2000,12,35978073
1995,84,29405621
1996,72,29969663
1997,60,32192147
1998,48,35466616
1999,36,39187110
2000,24,41980683
2001,12,37931381
1995,96,29402093
1996,84,29976268
1997,72,32176757
1998,60,35464084
1999,48,39082150
2000,36,41699987
2001,24,45112974
2002,12,38116350
1995,108,29401160
1996,96,29970661
1997,84,32160431
1998,72,35460073
1999,60,39069595
2000,48,41661101
2001,36,44833003
2002,24,43472416
2003,12,36417564
1995,120,29400906
1996,108,29965128
1997,96,32160179
1998,84,35450195
1999,72,39058894
2000,60,41610378
2001,48,44759394
2002,36,43210799
2003,24,41496245
2004,12,37251246
1995,132,29394805
1996,120,29964897
1997,108,32158639
1998,96,35441722
1999,84,39036737
2000,72,41581116
2001,60,44696962
2002,48,43141286
2003,36,41154716
2004,24,41859367
2005,12,38034350
1995,144,29394460
1996,132,29964010
1997,120,32158555
1998,108,35438067
1999,96,39035233
2000,84,41569027
2001,72,44680677
2002,60,43120792
2003,48,41032104
2004,36,41695203
2005,24,43935896
2006,12,38902024
1995,156,29394336
1996,144,29963873
1997,132,32158471
1998,120,35437935
1999,108,39036847
2000,96,41565789
2001,84,44664749
2002,72,43091838
2003,60,41019864
2004,48,41645875
2005,36,43714064
2006,24,43791237
2007,12,37958378
1995,168,29394017
1996,156,29962356
1997,144,32158471
1998,132,35437935
1999,120,39036674
2000,108,41565602
2001,96,44664358
2002,84,43085623
2003,72,41014820
2004,60,41623090
2005,48,43649092
2006,36,43495867
2007,24,43510059
2008,12,40803657
1995,180,29394017
1996,168,29961459
1997,156,32158471
1998,144,35437935
1999,132,39035449
2000,120,41565327
2001,108,44654032
2002,96,43084896
2003,84,41013477
2004,72,41610003
2005,60,43623040
2006,48,43447033
2007,36,43245348
2008,24,46198410
2009,12,43363752
1995,192,29394017
1996,180,29961253
1997,168,32158471
1998,156,35437935
1999,144,39035449
2000,132,41565099
2001,120,44654032
2002,108,43084896
2003,96,41009911
2004,84,41602489
2005,72,43625815
2006,60,43438515
2007,48,43255284
2008,36,46048036
2009,24,50879975
2010,12,47922038
1995,204,29394017
1996,192,29953494
1997,180,32158471
1998,168,35437770
1999,156,39035449
2000,144,41565416
2001,132,44654032
2002,120,43084896
2003,108,41009911
2004,96,41600507
2005,84,43624208
2006,72,43423347
2007,60,43252931
2008,48,46013163
2009,36,50651176
2010,24,55474156
2011,12,44986446
1995,216,29394017
1996,204,29953494
1997,192,32158471
1998,180,35437434
1999,168,39035449
2000,156,41565085
2001,144,44654032
2002,132,43084896
2003,120,41009911
2004,108,41590557
2005,96,43623842
2006,84,43423420
2007,72,43246092
2008,60,45970293
2009,48,50601924
2010,36,55271371
2011,24,50375201
2012,12,45159796
1995,228,29394017
1996,216,29953494
1997,204,32158471
1998,192,35436938
1999,180,39035449
2000,168,41565697
2001,156,44654032
2002,144,43084896
2003,132,41009911
2004,120,41589929
2005,108,43624434
2006,96,43422054
2007,84,43245907
2008,72,45970340
2009,60,50570740
2010,48,56202933
2011,36,50223264
2012,24,50855511
2013,12,45416203
1995,240,29394017
1996,228,29953494
1997,216,32158471
1998,204,35436938
1999,192,39035449
2000,180,41565651
2001,168,44654032
2002,156,43084896
2003,144,41009911
2004,132,41588813
2005,120,43624089
2006,108,43421047
2007,96,43244543
2008,84,45965222
2009,72,50572016
2010,60,56148605
2011,48,50097912
2012,36,50624340
2013,24,51548843
2014,12,45784686
